id,location,latitude,longitude,avg_aod_10yr,avg_humidity_10yr
1,AMAYA,14.38377501,120.834911,0.26176953708312595,79.71332503733201
2,BAGTAS,14.3389476,120.8487222,0.26176953708312595,79.71332503733201
3,BIGA,14.36780887,120.8492327,0.26176953708312595,79.71332503733201
4,BIWAS,14.40187255,120.8527226,0.26176953708312595,79.71332503733201
5,BUCAL,14.38994478,120.8617736,0.26176953708312595,79.71332503733201
6,BUNGA,14.35219733,120.8696905,0.26176953708312595,79.71332503733201
7,CALIBUYO,14.35962254,120.8098785,0.26176953708312595,79.71332503733201
8,CAPIPISA,14.35314945,120.791618,0.26176953708312595,79.71332503733201
9,DAANG AMAYA,14.3928261,120.8523288,0.26176953708312595,79.71332503733201
10,HALAYHAY,14.37159597,120.8146582,0.26176953708312595,79.71332503733201
11,JULUGAN,14.40105751,120.8442052,0.26176953708312595,79.71332503733201
12,LAMBINGAN,14.34687756,120.8063745,0.26176953708312595,79.71332503733201
13,MULAWIN,14.38323913,120.8508755,0.26176953708312595,79.71332503733201
14,PARADAHAN,14.32488032,120.8604492,0.26176953708312595,79.71332503733201
15,POBLACION,14.39746925,120.858078,0.26176953708312595,79.71332503733201
16,PUNTA,14.35020966,120.8586727,0.26176953708312595,79.71332503733201
17,SAHUD ULAN,14.35990012,120.8307726,0.26176953708312595,79.71332503733201
18,SANJA MAYOR,14.37566409,120.8552829,0.26176953708312595,79.71332503733201
19,SANTOL,14.37339638,120.8687557,0.26176953708312595,79.71332503733201
20,TANAUAN,14.31002488,120.8301411,0.26176953708312595,79.71332503733201
21,TRES CRUSES,14.33538863,120.8310204,0.26176953708312595,79.71332503733201
